check,value,expected,pass,detail
stage111_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_publisher_path_source_guard_summary.csv
stage111_pass,True,True,True,
stage111_publisher_path_source_guard_passed,True,True,True,
stage111_publisher_path_implemented,False,False,True,
stage111_manual_enable_active,False,False,True,
stage111_torque_enable_ready,False,False,True,
stage111_torque_publisher_enabled,False,False,True,
stage111_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
stage111_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage111.csv
stage111_g8_manual_enable_active_false,False,False,True,
stage111_g9_publisher_path_exists_false,False,False,True,
stage111_g13_source_guard_passed,True,True,True,
disabled_publisher_path_design_csv_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_disabled_publisher_path_skeleton_design.csv
design_all_items_not_implemented,True,True,True,
design_has_future_publisher_handle,True,True,True,
design_has_publish_allowed_gate,True,True,True,
design_has_runtime_guard,True,True,True,
publisher_path_implemented,False,False,True,
manual_enable_active,False,False,True,
torque_enable_ready,False,False,True,
