metric,value
stage,Stage 11.6
test_name,dormant_publisher_path_source_skeleton_freeze_summary
stage113_pass,True
stage114_pass,True
stage115_pass,True
freeze_file_count,14
missing_file_count,0
publisher_path_planning_frozen,True
disabled_publisher_path_skeleton_preflight_passed,True
dormant_publisher_path_source_skeleton_exists,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_has_dormant_skeleton_marker,True
source_has_construct_forbidden_marker,True
source_has_publish_forbidden_marker,True
source_has_payload_length_12,True
source_has_dormant_payload_helper,True
stage115_torque_topic_publishers_zero,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g16_dormant_publisher_path_source_skeleton_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage116,False
stage11_scope,dormant_publisher_path_source_skeleton_freeze_summary_only
baseline_type,mixed_online_control_baseline
dormant_publisher_path_source_skeleton_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,52
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_freeze_log.csv
hash_csv,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_freeze_hashes.csv
summary_csv,results/logs_sample/stage11_dormant_publisher_path_source_skeleton_freeze_summary.csv
doc,docs/STAGE11_DORMANT_PUBLISHER_PATH_SOURCE_SKELETON_FREEZE_SUMMARY.md
