metric,value
stage,Stage 12.14
test_name,bounded_one_shot_zero_safe_publish_call_source_patch
stage1213_pass,True
stage1213_bounded_publish_call_source_patch_preflight_frozen,True
source_patch_applied,True
source_hash_before,a8c10fcbb6c260c199865ce62601df242706619c9f46db04c75c484911ff8a76
source_hash_after,b3950287e9ed36c88e2b299376d21a9504265eebb99a33a992f5c0079c9b9e03
post_source_has_create_publisher,True
post_publish_call_count,1
post_source_has_one_publish_call,True
post_source_references_torque_topic,True
post_source_has_active_publisher_member,True
post_source_has_stage124_marker,True
post_source_has_stage1214_marker,True
post_source_has_bounded_publish_helper,True
post_source_has_zero_safe_message_helper,True
post_source_uses_safety_chain,True
post_source_forbids_continuous_publish,True
colcon_build_returncode,0
manual_enable_active_during_test,True
manual_enable_reverted_false,True
runtime_topic_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_positive_all_samples,True
torque_subscribers_positive_all_samples,True
first_echo_returncode,124
first_echo_message_received,False
first_echo_payload_length,0
first_echo_payload_all_finite,True
first_echo_payload_all_zero,False
second_echo_returncode,124
second_echo_timeout_no_extra_message,True
bounded_zero_safe_torque_message_published,False
continuous_torque_streaming_enabled,False
controller_alive_after_publish,True
bounded_one_shot_publish_call_implemented,False
active_ros_publisher_path_exists,True
g3_no_publish_call,False
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g31_bounded_publish_call_source_patch_preflight_freeze_passed,True
g32_bounded_one_shot_zero_safe_publish_call_implementation_passed,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1214,False
stage12_scope,bounded_one_shot_zero_safe_publish_call_source_patch
baseline_type,mixed_online_control_baseline
continuous_torque_streaming_completed,False
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
hardware_deployment_completed,False
num_checks,59
num_failed_checks,7
pass,False
log_csv,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_source_patch_log.csv
param_observations_csv,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_param_observations.csv
topic_observations_csv,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_topic_observations.csv
echo1_stdout,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_echo1_stdout.txt
echo1_stderr,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_echo1_stderr.txt
echo2_stdout,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_echo2_stdout.txt
echo2_stderr,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_echo2_stderr.txt
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1214.csv
summary_csv,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_source_patch_summary.csv
source_backup,results/logs_sample/stage12_disabled_controller_node_before_stage1214.cpp
source_after,results/logs_sample/stage12_disabled_controller_node_after_stage1214.cpp
build_stdout,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_build_stdout.txt
build_stderr,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_build_stderr.txt
bridge_stdout,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_bridge_stderr.txt
controller_stdout,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_controller_stdout.txt
controller_stderr,results/logs_sample/stage12_bounded_one_shot_zero_safe_publish_call_controller_stderr.txt
doc,docs/STAGE12_BOUNDED_ONE_SHOT_ZERO_SAFE_PUBLISH_CALL_SOURCE_PATCH.md
