metric,value
stage,Stage 12.16
test_name,continuous_torque_streaming_design_only
stage1215_pass,True
stage1215_freeze_regression_passed,True
stage1215_default_disabled_regression_passed,True
stage1215_enabled_bounded_publish_regression_passed,True
stage1215_no_continuous_streaming,True
source_hash_before,1970e55723158545b775a707b99f4e5801f80d96f93cf1f3301f5e27aa15d3e6
source_hash_after,1970e55723158545b775a707b99f4e5801f80d96f93cf1f3301f5e27aa15d3e6
source_unchanged_by_stage1216,True
publish_call_count,1
source_has_exactly_one_publish_call,True
source_has_delayed_one_shot_timer,True
source_has_timer_member,True
source_timer_cancels_itself,True
source_has_zero_safe_message_helper,True
source_uses_zero_safe_message_helper,True
source_has_stage1214_marker,True
source_has_stage124_marker,True
source_references_torque_topic,True
source_has_active_publisher_member,True
continuous_torque_streaming_design_exists,True
design_all_items_not_implemented,True
design_has_manual_flags,True
design_has_rate_limit,True
design_has_duration_limit,True
design_has_payload_contract,True
design_has_safety_chain,True
design_has_watchdog,True
design_has_start_stop,True
design_has_runtime_evidence,True
design_forbids_hardware,True
design_forbids_control_law_change,True
design_has_abort_conditions,True
continuous_torque_streaming_design_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g3_no_publish_call,False
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g35_bounded_one_shot_publish_call_freeze_regression_passed,True
g36_continuous_torque_streaming_design_exists,True
continuous_torque_streaming_completed,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1216,False
stage12_scope,continuous_torque_streaming_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
hardware_deployment_completed,False
num_checks,52
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_continuous_torque_streaming_design_log.csv
design_csv,results/logs_sample/stage12_continuous_torque_streaming_design.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1216.csv
summary_csv,results/logs_sample/stage12_continuous_torque_streaming_design_summary.csv
doc,docs/STAGE12_CONTINUOUS_TORQUE_STREAMING_DESIGN_ONLY.md
