metric,value
stage,Stage 10.7
test_name,clamp_watchdog_utility_without_publisher
stage106_pass,True
colcon_build_returncode,0
torque_safety_contract_returncode,0
clamp_output_size_ok,True
clamp_output_all_finite,True
clamp_detected_nonfinite,True
clamp_applied,True
clamp_max_abs_ok,True
clamp_expected_values_ok,True
zero_clamp_all_zero,True
watchdog_fresh_ok,True
watchdog_stale_blocks,True
watchdog_nan_blocks,True
watchdog_zero_all_zero,True
clamp_watchdog_utility_implemented,True
controller_source_has_no_create_publisher,True
controller_source_has_no_publish_call,True
controller_source_does_not_reference_torque_topic,True
torque_topic_publishers_zero,True
torque_topic_subscribers_positive,True
manual_enable_active,False
publisher_path_exists,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage107,False
stage10_scope,clamp_watchdog_utility_without_publisher_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,40
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_clamp_watchdog_utility_without_publisher_log.csv
clamped_vector_csv,results/logs_sample/stage10_clamp_watchdog_utility_clamped_vector.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate_after_stage107.csv
summary_csv,results/logs_sample/stage10_clamp_watchdog_utility_without_publisher_summary.csv
build_stdout,results/logs_sample/stage10_clamp_watchdog_utility_build_stdout.txt
build_stderr,results/logs_sample/stage10_clamp_watchdog_utility_build_stderr.txt
contract_check_stdout,results/logs_sample/stage10_clamp_watchdog_contract_check_stdout.txt
contract_check_stderr,results/logs_sample/stage10_clamp_watchdog_contract_check_stderr.txt
bridge_stdout,results/logs_sample/stage10_clamp_watchdog_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage10_clamp_watchdog_bridge_stderr.txt
controller_stdout,results/logs_sample/stage10_clamp_watchdog_controller_stdout.txt
controller_stderr,results/logs_sample/stage10_clamp_watchdog_controller_stderr.txt
doc,docs/STAGE10_CLAMP_WATCHDOG_UTILITY_WITHOUT_PUBLISHER.md
