metric,value
stage,Stage 10.10
test_name,manual_enable_params_disabled_without_publisher
stage109_pass,True
colcon_build_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
enable_param_listed,True
confirm_param_listed,True
enable_param_default_false,True
confirm_param_default_false,True
manual_enable_params_declared,True
manual_enable_params_default_false,True
manual_enable_active,False
publisher_path_exists,False
torque_topic_publishers_zero,True
torque_topic_subscribers_positive,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1010,False
stage10_scope,manual_enable_params_disabled_without_publisher_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,35
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_manual_enable_params_disabled_without_publisher_log.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate_after_stage1010.csv
summary_csv,results/logs_sample/stage10_manual_enable_params_disabled_without_publisher_summary.csv
build_stdout,results/logs_sample/stage10_manual_enable_params_build_stdout.txt
build_stderr,results/logs_sample/stage10_manual_enable_params_build_stderr.txt
param_list_stdout,results/logs_sample/stage10_manual_enable_params_param_list_stdout.txt
param_list_stderr,results/logs_sample/stage10_manual_enable_params_param_list_stderr.txt
param_get_stdout,results/logs_sample/stage10_manual_enable_params_param_get_stdout.txt
param_get_stderr,results/logs_sample/stage10_manual_enable_params_param_get_stderr.txt
bridge_stdout,results/logs_sample/stage10_manual_enable_params_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage10_manual_enable_params_bridge_stderr.txt
controller_stdout,results/logs_sample/stage10_manual_enable_params_controller_stdout.txt
controller_stderr,results/logs_sample/stage10_manual_enable_params_controller_stderr.txt
doc,docs/STAGE10_MANUAL_ENABLE_PARAMS_DISABLED_WITHOUT_PUBLISHER.md
