metric,value
stage,Stage 12.11
test_name,bounded_zero_safe_publish_call_implementation_plan
stage1210_pass,True
stage1210_publish_call_preflight_frozen,True
source_has_create_publisher,True
source_has_publish_call,False
source_references_torque_topic,True
source_has_active_publisher_member,True
source_has_stage124_marker,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_unchanged_by_stage1211,True
bounded_zero_safe_publish_call_implementation_plan_exists,True
plan_all_items_not_implemented,True
plan_has_publish_limit,True
plan_has_safe_payload,True
plan_has_payload_order,True
plan_has_preconditions,True
plan_has_safety_chain,True
plan_has_source_boundary,True
plan_has_runtime_evidence,True
plan_has_revert_procedure,True
plan_has_abort_conditions,True
bounded_zero_safe_publish_call_implementation_plan_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g28_publish_call_preflight_freeze_passed,True
g29_bounded_zero_safe_publish_call_implementation_plan_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1211,False
stage12_scope,bounded_zero_safe_publish_call_implementation_plan_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,49
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan_log.csv
plan_csv,results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1211.csv
summary_csv,results/logs_sample/stage12_bounded_zero_safe_publish_call_implementation_plan_summary.csv
doc,docs/STAGE12_BOUNDED_ZERO_SAFE_PUBLISH_CALL_IMPLEMENTATION_PLAN.md
