metric,value
stage,Stage 12.3
test_name,construction_stage_preflight_freeze
stage120_pass,True
stage121_pass,True
stage122_pass,True
freeze_file_count,15
missing_file_count,0
active_publisher_construction_planning_complete,True
pre_construction_source_runtime_guard_passed,True
publisher_construction_source_patch_design_complete,True
source_unchanged_by_stage122,True
stage121_torque_publishers_zero_all_samples,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
dormant_publisher_path_source_skeleton_exists,True
manual_enable_active,False
active_ros_publisher_path_exists,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g19_active_publisher_construction_planning_exists,True
g20_pre_construction_source_runtime_guard_passed,True
g21_publisher_construction_source_patch_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage123,False
stage12_scope,construction_stage_preflight_freeze_only
baseline_type,mixed_online_control_baseline
construction_stage_preflight_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,57
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_construction_stage_preflight_freeze_log.csv
hash_csv,results/logs_sample/stage12_construction_stage_preflight_freeze_hashes.csv
summary_csv,results/logs_sample/stage12_construction_stage_preflight_freeze_summary.csv
doc,docs/STAGE12_CONSTRUCTION_STAGE_PREFLIGHT_FREEZE.md
