metric,value
stage,Stage 10.8
test_name,disabled_controller_uses_safety_utilities
stage107_pass,True
colcon_build_returncode,0
torque_safety_contract_returncode,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_includes_safety_header,True
source_uses_clamp_torque_command,True
source_uses_watchdog_fresh_check,True
source_uses_watchdog_fallback_zero,True
source_has_internal_safe_tau_buffer,True
controller_uses_safety_utilities,True
clamp_output_all_finite,True
clamp_expected_values_ok,True
watchdog_stale_blocks,True
watchdog_nan_blocks,True
watchdog_zero_all_zero,True
disabled_controller_alive_after_startup,True
torque_topic_publishers_zero,True
torque_topic_subscribers_positive,True
manual_enable_active,False
publisher_path_exists,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage108,False
stage10_scope,disabled_controller_uses_safety_utilities_without_publisher_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,34
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_disabled_controller_uses_safety_utilities_log.csv
safety_gate_csv,results/logs_sample/stage10_torque_publisher_safety_gate_after_stage108.csv
summary_csv,results/logs_sample/stage10_disabled_controller_uses_safety_utilities_summary.csv
build_stdout,results/logs_sample/stage10_disabled_controller_uses_safety_build_stdout.txt
build_stderr,results/logs_sample/stage10_disabled_controller_uses_safety_build_stderr.txt
contract_check_stdout,results/logs_sample/stage10_disabled_controller_uses_safety_contract_stdout.txt
contract_check_stderr,results/logs_sample/stage10_disabled_controller_uses_safety_contract_stderr.txt
bridge_stdout,results/logs_sample/stage10_disabled_controller_uses_safety_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage10_disabled_controller_uses_safety_bridge_stderr.txt
controller_stdout,results/logs_sample/stage10_disabled_controller_uses_safety_controller_stdout.txt
controller_stderr,results/logs_sample/stage10_disabled_controller_uses_safety_controller_stderr.txt
doc,docs/STAGE10_DISABLED_CONTROLLER_USES_SAFETY_UTILITIES.md
