metric,value
stage,Stage 10.11
test_name,manual_enable_param_guard_freeze_summary
stage109_pass,True
stage1010_pass,True
freeze_file_count,10
missing_file_count,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_reads_enable_param,True
source_reads_confirm_param,True
source_has_manual_enable_active_state,True
source_uses_safety_utilities,True
g8_manual_enable_active,False
g9_publisher_path_exists,False
g10_controller_uses_safety_utilities,True
g11_manual_enable_params_exist_and_default_false,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1011,False
stage10_scope,manual_enable_param_guard_freeze_summary_only
baseline_type,mixed_online_control_baseline
manual_enable_param_guard_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,41
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_manual_enable_param_guard_freeze_log.csv
hash_csv,results/logs_sample/stage10_manual_enable_param_guard_freeze_hashes.csv
summary_csv,results/logs_sample/stage10_manual_enable_param_guard_freeze_summary.csv
doc,docs/STAGE10_MANUAL_ENABLE_PARAM_GUARD_FREEZE_SUMMARY.md
