metric,value
stage,Stage 9.6
test_name,cpp_mirror_runtime_contract_guard
stage95_pass,True
colcon_build_returncode,0
sample_rounds,5
expected_topic_count,6
sample_row_count,30
all_sample_topic_types_match,True
torque_cmd_publishers_all_zero,True
torque_cmd_subscribers_positive,True
published_topics_have_publishers,True
published_topics_have_subscribers,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
control_law_changed,False
torque_command_published_by_stage96,False
stage9_scope,cpp_mirror_runtime_contract_guard_only
baseline_type,mixed_online_control_baseline
pure_wbc_locomotion_completed,False
ros2_cpp_realtime_controller_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,15
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_log.csv
samples_csv,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_samples.csv
summary_csv,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_summary.csv
bridge_stdout,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_bridge_stderr.txt
mirror_stdout,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_mirror_stdout.txt
mirror_stderr,results/logs_sample/stage09_cpp_mirror_runtime_contract_guard_mirror_stderr.txt
