metric,value
stage,Stage 12.14R
test_name,bounded_one_shot_publish_call_repair
previous_stage1214_pass,False
previous_first_echo_timeout,True
previous_no_first_message,True
source_patch_repair_applied,True
source_hash_before_repair,b3950287e9ed36c88e2b299376d21a9504265eebb99a33a992f5c0079c9b9e03
source_hash_after_repair,136a5db42539599b2d0a37eebf932c3608ab199a7909d34df21f43c2e4dac106
post_publish_call_count,1
post_has_exactly_one_publish_call,True
post_has_stage1214_marker,True
post_has_delayed_one_shot_timer,False
post_has_zero_safe_message_helper,True
post_forbids_continuous_publish,True
colcon_build_returncode,0
manual_enable_active_during_test,True
manual_enable_reverted_false,True
runtime_topic_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_positive_all_samples,True
torque_subscribers_positive_all_samples,True
first_echo_returncode,124
first_echo_message_received,False
first_echo_payload_length,0
first_echo_payload_all_finite,True
first_echo_payload_all_zero,False
second_echo_returncode,124
second_echo_timeout_no_extra_message,True
bounded_zero_safe_torque_message_published,False
continuous_torque_streaming_enabled,False
controller_alive_after_publish,True
bounded_one_shot_publish_call_repair_passed,False
active_ros_publisher_path_exists,True
g3_no_publish_call,False
g8_manual_enable_active_after_revert,False
g9_active_ros_publisher_path_exists,True
g32_bounded_one_shot_zero_safe_publish_call_implementation_passed,False
g33_bounded_one_shot_publish_call_repair_passed,False
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1214_repair,False
stage12_scope,bounded_one_shot_publish_call_repair_only
baseline_type,mixed_online_control_baseline
continuous_torque_streaming_completed,False
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
hardware_deployment_completed,False
num_checks,40
num_failed_checks,8
pass,False
log_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_log.csv
param_observations_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_param_observations.csv
topic_observations_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_topic_observations.csv
echo1_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_echo1_stdout.txt
echo1_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_echo1_stderr.txt
echo2_stdout,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_echo2_stdout.txt
echo2_stderr,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_echo2_stderr.txt
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage1214_repair.csv
summary_csv,results/logs_sample/stage12_bounded_one_shot_publish_call_repair_summary.csv
source_before_repair,results/logs_sample/stage12_disabled_controller_node_before_stage1214_repair.cpp
source_after_repair,results/logs_sample/stage12_disabled_controller_node_after_stage1214_repair.cpp
doc,docs/STAGE12_BOUNDED_ONE_SHOT_PUBLISH_CALL_REPAIR.md
