metric,value
stage,Stage 11.8
test_name,stage11_5_7_dormant_publisher_runtime_freeze_summary
stage115_pass,True
stage116_pass,True
stage117_pass,True
freeze_file_count,12
missing_file_count,0
dormant_publisher_path_source_skeleton_exists,True
dormant_publisher_path_source_skeleton_frozen,True
dormant_publisher_runtime_guard_hardened,True
runtime_observation_row_count,6
runtime_observation_publishers_zero_all_rows,True
runtime_observation_subscribers_positive_all_rows,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
publisher_path_implemented,False
manual_enable_active,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g16_dormant_publisher_path_source_skeleton_exists,True
g17_runtime_guard_hardened_for_dormant_publisher_skeleton,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage118,False
stage11_scope,dormant_publisher_skeleton_runtime_freeze_summary_only
baseline_type,mixed_online_control_baseline
dormant_publisher_skeleton_runtime_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,62
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_5_7_dormant_publisher_runtime_freeze_log.csv
hash_csv,results/logs_sample/stage11_5_7_dormant_publisher_runtime_freeze_hashes.csv
summary_csv,results/logs_sample/stage11_5_7_dormant_publisher_runtime_freeze_summary.csv
doc,docs/STAGE11_5_7_DORMANT_PUBLISHER_RUNTIME_FREEZE_SUMMARY.md
