metric,value
stage,Stage 11.3
test_name,stage11_0_2_publisher_path_planning_freeze_summary
stage110_pass,True
stage111_pass,True
stage112_pass,True
freeze_file_count,14
missing_file_count,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
publisher_path_plan_exists,True
publisher_path_source_guard_passed,True
disabled_publisher_path_design_exists,True
design_all_items_not_implemented,True
g8_manual_enable_active,False
g9_publisher_path_exists,False
g12_publisher_path_plan_exists,True
g13_publisher_path_source_guard_passed,True
g14_disabled_publisher_path_skeleton_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage113,False
stage11_scope,publisher_path_planning_freeze_summary_only
baseline_type,mixed_online_control_baseline
publisher_path_planning_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,45
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage11_0_2_publisher_path_planning_freeze_log.csv
hash_csv,results/logs_sample/stage11_0_2_publisher_path_planning_freeze_hashes.csv
summary_csv,results/logs_sample/stage11_0_2_publisher_path_planning_freeze_summary.csv
doc,docs/STAGE11_0_2_PUBLISHER_PATH_PLANNING_FREEZE_SUMMARY.md
