check,value,expected,pass,detail
stage1110_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_full_freeze_integrity_check_summary.csv
stage1110_pass,True,True,True,
stage1110_verified_full_no_active_publisher_frozen,True,True,True,
stage1110_hash_integrity_passed,True,True,True,
stage1110_g8_manual_enable_active,False,False,True,
stage1110_g9_active_ros_publisher_path_exists,False,False,True,
stage1110_g18_full_freeze_integrity_check_passed,True,True,True,
stage1110_torque_enable_ready,False,False,True,
stage1110_torque_publisher_enabled,False,False,True,
stage1110_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
safety_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/torque_safety.hpp
zero_header_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/include/robot_mpc_wbc_cpp_controller/zero_torque_dry_run.hpp
source_has_no_create_publisher,False,False,True,
source_has_no_publish_call,False,False,True,
source_does_not_reference_torque_topic,False,False,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
source_uses_safety_utilities,True,True,True,
safety_header_has_clamp_watchdog,True,True,True,
zero_header_declares_12,True,True,True,
dormant_publisher_path_source_skeleton_exists,True,True,True,
stage1110_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage11_torque_publisher_safety_gate_after_stage1110.csv
stage1110_gate_g8_false,False,False,True,
stage1110_gate_g9_false,False,False,True,
stage1110_gate_g18_true,True,True,True,
active_publisher_construction_plan_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_active_publisher_construction_plan.csv
plan_all_items_not_implemented,True,True,True,
plan_has_future_topic,True,True,True,
plan_separates_construction_and_publish_call,True,True,True,
plan_has_abort_conditions,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,False,False,True,
torque_enable_ready,False,False,True,
active_publisher_construction_planning_complete,True,True,True,
