metric,value
stage,Stage 12.0
test_name,active_publisher_construction_planning_only
stage1110_pass,True
stage1110_verified_full_publisher_path_no_active_publisher_frozen,True
stage1110_hash_integrity_passed,True
stage1110_g18_full_freeze_integrity_check_passed,True
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
dormant_publisher_path_source_skeleton_exists,True
active_publisher_construction_plan_exists,True
plan_all_items_not_implemented,True
plan_has_future_topic,True
plan_separates_construction_and_publish_call,True
plan_has_abort_conditions,True
active_publisher_construction_planning_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,False
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,False
g19_active_publisher_construction_planning_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage120,False
stage12_scope,active_publisher_construction_planning_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,35
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_active_publisher_construction_planning_log.csv
plan_csv,results/logs_sample/stage12_active_publisher_construction_plan.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage120.csv
summary_csv,results/logs_sample/stage12_active_publisher_construction_planning_summary.csv
doc,docs/STAGE12_ACTIVE_PUBLISHER_CONSTRUCTION_PLANNING_ONLY.md
