metric,value
stage,Stage 12.6
test_name,manual_enable_activation_design_only
stage125_pass,True
stage125_publisher_construction_no_publish_integrity_passed,True
source_has_create_publisher,True
source_has_publish_call,False
source_references_torque_topic,True
source_has_active_publisher_member,True
source_has_stage124_marker,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_unchanged_by_stage126,True
manual_enable_activation_design_exists,True
design_all_items_not_applied,True
design_has_two_flag_activation,True
design_has_runtime_commands,True
design_forbids_source_change,True
design_forbids_publish_call,True
design_has_revert_procedure,True
design_has_abort_conditions,True
manual_enable_activation_design_complete,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g2_no_publisher_construction,False
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g23_publisher_construction_no_publish_freeze_passed,True
g24_manual_enable_activation_design_exists,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage126,False
stage12_scope,manual_enable_activation_design_only
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,40
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_manual_enable_activation_design_log.csv
design_csv,results/logs_sample/stage12_manual_enable_activation_design.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage126.csv
summary_csv,results/logs_sample/stage12_manual_enable_activation_design_summary.csv
doc,docs/STAGE12_MANUAL_ENABLE_ACTIVATION_DESIGN_ONLY.md
