check,value,expected,pass,detail
stage125_summary_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_publisher_construction_no_publish_freeze_summary.csv
stage125_pass,True,True,True,
stage125_no_publish_integrity_passed,True,True,True,
stage125_current_source_has_create_publisher,True,True,True,
stage125_current_source_has_publish_call,False,False,True,
stage125_active_ros_publisher_path_exists,True,True,True,
stage125_manual_enable_active,False,False,True,
stage125_torque_enable_ready,False,False,True,
stage125_torque_publisher_enabled,False,False,True,
stage125_control_law_changed,False,False,True,
cpp_source_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/ros2_ws/src/robot_mpc_wbc_cpp_controller/src/disabled_controller_node.cpp
source_has_create_publisher,True,True,True,
source_has_no_publish_call,False,False,True,
source_references_torque_topic,True,True,True,
source_has_active_publisher_member,True,True,True,
source_has_stage124_marker,True,True,True,
source_declares_enable_param_default_false,True,True,True,
source_declares_confirm_param_default_false,True,True,True,
stage125_gate_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_torque_publisher_safety_gate_after_stage125.csv
G2_status_after_stage125,False,False,True,
G3_status_after_stage125,True,True,True,
G8_status_after_stage125,False,False,True,
G9_status_after_stage125,True,True,True,
G22_status_after_stage125,True,True,True,
G23_status_after_stage125,True,True,True,
manual_enable_activation_design_exists,True,True,True,/home/zanshi/robot-mpc-wbc-locomotion/results/logs_sample/stage12_manual_enable_activation_design.csv
design_all_items_not_applied,True,True,True,
design_has_two_flag_activation,True,True,True,
design_has_runtime_commands,True,True,True,
design_forbids_source_change,True,True,True,
design_forbids_publish_call,True,True,True,
design_has_revert_procedure,True,True,True,
design_has_abort_conditions,True,True,True,
source_unchanged_by_stage126,True,True,True,
manual_enable_activation_design_complete,True,True,True,
manual_enable_active,False,False,True,
active_ros_publisher_path_exists,True,True,True,
torque_enable_ready,False,False,True,
torque_publisher_enabled,False,False,True,
control_law_changed,False,False,True,
