metric,value
clamp_output_size,12
clamp_expected_size,12
clamp_output_size_ok,True
clamp_output_all_finite,True
clamp_detected_nonfinite,True
clamp_applied,True
clamp_max_abs_after,10
clamp_max_abs_ok,True
clamp_expected_values_ok,True
zero_clamp_all_zero,True
watchdog_fresh_ok,True
watchdog_stale_blocks,True
watchdog_nan_blocks,True
watchdog_zero_all_zero,True
clamped_tau_0,0
clamped_tau_1,5
clamped_tau_2,-5
clamped_tau_3,10
clamped_tau_4,-10
clamped_tau_5,0
clamped_tau_6,0
clamped_tau_7,0
clamped_tau_8,10
clamped_tau_9,-10
clamped_tau_10,3
clamped_tau_11,-3
