metric,value
stage,Stage 10.12
test_name,stage10_0_11_full_no_publisher_controller_freeze
stage100_pass,True
stage101_pass,True
stage102_pass,True
stage103_pass,True
stage104_pass,True
stage105_pass,True
stage106_pass,True
stage107_pass,True
stage108_pass,True
stage109_pass,True
stage1010_pass,True
stage1011_pass,True
freeze_file_count,40
missing_file_count,0
source_has_no_create_publisher,True
source_has_no_publish_call,True
source_does_not_reference_torque_topic,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_reads_enable_param,True
source_reads_confirm_param,True
source_uses_safety_utilities,True
g8_manual_enable_active,False
g9_publisher_path_exists,False
g10_controller_uses_safety_utilities,True
g11_manual_enable_params_exist_and_default_false,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage1012,False
stage10_scope,full_no_publisher_controller_freeze_only
baseline_type,mixed_online_control_baseline
full_no_publisher_controller_frozen,True
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,60
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage10_0_11_full_no_publisher_controller_freeze_log.csv
hash_csv,results/logs_sample/stage10_0_11_full_no_publisher_controller_freeze_hashes.csv
summary_csv,results/logs_sample/stage10_0_11_full_no_publisher_controller_freeze_summary.csv
doc,docs/STAGE10_0_11_FULL_NO_PUBLISHER_CONTROLLER_FREEZE.md
