metric,value
stage,Stage 12.4
test_name,publisher_construction_source_patch_without_publish
stage123_pass,True
stage123_construction_stage_preflight_frozen,True
pre_patch_source_has_no_create_publisher,True
pre_patch_source_has_no_publish_call,True
pre_patch_source_does_not_reference_torque_topic,True
source_patch_applied,True
source_hash_before,e3cbda94f988911d45e743cf59ddd332f4962e22d79445f50bda8bc1e1087801
source_hash_after,a8c10fcbb6c260c199865ce62601df242706619c9f46db04c75c484911ff8a76
post_source_has_create_publisher,True
post_source_has_publish_call,False
post_source_references_torque_topic,True
post_source_has_active_publisher_member,True
post_source_has_stage124_marker,True
source_declares_enable_param_default_false,True
source_declares_confirm_param_default_false,True
source_uses_safety_utilities,True
colcon_build_returncode,0
enable_param_default_false,True
confirm_param_default_false,True
runtime_expected_sample_count,6
runtime_observed_sample_count,6
topic_info_all_returncode_zero,True
torque_publishers_positive_all_samples,True
torque_subscribers_positive_all_samples,True
publisher_construction_implemented_without_publish_call,True
manual_enable_active,False
active_ros_publisher_path_exists,True
g2_no_publisher_construction,False
g3_no_publish_call,True
g8_manual_enable_active,False
g9_active_ros_publisher_path_exists,True
g22_publisher_construction_implemented_without_publish_call,True
torque_enable_ready,False
control_law_changed,False
torque_publisher_enabled,False
torque_command_published_by_stage124,False
stage12_scope,publisher_construction_source_patch_without_publish_call
baseline_type,mixed_online_control_baseline
ros2_cpp_realtime_controller_completed,False
pure_wbc_locomotion_completed,False
ekf_completed,False
full_3d_centroidal_mpc_completed,False
num_checks,43
num_failed_checks,0
pass,True
log_csv,results/logs_sample/stage12_publisher_construction_source_patch_without_publish_log.csv
observations_csv,results/logs_sample/stage12_publisher_construction_without_publish_topic_observations.csv
safety_gate_csv,results/logs_sample/stage12_torque_publisher_safety_gate_after_stage124.csv
summary_csv,results/logs_sample/stage12_publisher_construction_source_patch_without_publish_summary.csv
source_backup,results/logs_sample/stage12_disabled_controller_node_before_stage124.cpp
source_after,results/logs_sample/stage12_disabled_controller_node_after_stage124.cpp
build_stdout,results/logs_sample/stage12_publisher_construction_without_publish_build_stdout.txt
build_stderr,results/logs_sample/stage12_publisher_construction_without_publish_build_stderr.txt
param_stdout,results/logs_sample/stage12_publisher_construction_without_publish_param_stdout.txt
param_stderr,results/logs_sample/stage12_publisher_construction_without_publish_param_stderr.txt
bridge_stdout,results/logs_sample/stage12_publisher_construction_without_publish_bridge_stdout.txt
bridge_stderr,results/logs_sample/stage12_publisher_construction_without_publish_bridge_stderr.txt
controller_stdout,results/logs_sample/stage12_publisher_construction_without_publish_controller_stdout.txt
controller_stderr,results/logs_sample/stage12_publisher_construction_without_publish_controller_stderr.txt
doc,docs/STAGE12_PUBLISHER_CONSTRUCTION_SOURCE_PATCH_WITHOUT_PUBLISH.md
